month,crossingType,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Dec,Personal Vehicle Passengers,,2062,-124,-496,660,-2102,1632,332,477,164,-455,110,-633,-164,336,-219,67,-1519,812,-47,799,-248,-1444
Dec,Personal Vehicles,,702,-56,75,330,-1051,816,144,19,150,-222,72,-267,-26,64,-85,41,-631,346,-12,336,-103,-642
Dec,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Dec,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Dec,Total People,,2817,-124,-530,990,-3153,2448,476,496,314,-677,182,-900,-190,400,-304,108,-2150,1158,-59,1135,-351,-2086
Dec,Total Vehicles,,412,-117,65,8,-258,233,-93,-88,168,-245,100,-20,-76,40,37,-40,6,-19,-100,37,-17,-33
Dec,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Dec,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Dec,Truck Containers Empty,,10,4,-1,1,-3,7,-7,15,-17,-9,0,0,0,,,-1,,-3,-2,1,-1,-1
Dec,Truck Containers Loaded,,196,-64,35,3,-71,54,-40,-58,98,-153,0,0,0,,14,-15,-7,2,-54,22,-11,-19
Dec,Trucks,,204,-58,34,4,-184,172,-46,-45,87,-83,99,-19,-76,-28,22,-24,7,-18,-44,14,-5,-13
